,0,1,2,3
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",-0.029701,-0.029701,-0.029701,-0.029701
"['False', 'True', 'False', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",-0.0199,-0.01,-0.0199,-0.0199
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '1', 'False', 'False', 'False']",-0.01,-0.0199,-0.0199,-0.0199
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '2', 'False', 'False', 'True']",-0.01,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '3', 'False', 'False', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '4', 'False', 'False', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '2', 'False', 'False', 'True']",0.0,0.0,0.0,0.0
"['False', 'True', 'True', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '3', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '2', 'False', 'True', 'True']",-0.01,-0.01,-0.01,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '2', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '2', 'True', 'True', 'True']",0.0,0.0,0.0,-0.01
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '1', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '0', 'True', 'False', 'False']",-0.01,-0.0491098019,-0.01,-0.01
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '0', 'True', 'False', 'False']",0.0,0.0,-0.04910081,-0.0995
"['False', 'False', 'True', 'False', 'True', 'False', 'False', '0', 'True', 'True', 'True']",0.0,0.0,0.0,0.0989109
"['False', 'False', 'False', 'False', 'True', 'False', 'False', '1', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '1', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '1', 'False', 'True', 'True']",-0.01,-0.01,-0.01,-0.01
"['False', 'True', 'False', 'False', 'False', 'False', 'False', '1', 'False', 'True', 'True']",0.0,-0.01,0.0,0.0
"['False', 'True', 'False', 'False', 'False', 'False', 'False', '2', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'True', 'False', '0', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'True', 'False', '3', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'True', 'False', '2', 'False', 'True', 'True']",-0.01,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'True', 'False', '4', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'True', 'False', '2', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '2', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'True', 'True', 'False', 'False', 'False', 'False', '0', 'True', 'False', 'False']",0.0,0.0,0.0,-0.05
"['False', 'True', 'False', 'False', 'False', 'False', 'False', '0', 'True', 'False', 'False']",0.0,0.0,0.0,-0.01
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '1', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'True', 'True', 'False', 'True', 'False', 'False', '0', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '1', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'False', 'False', 'False', '3', 'True', 'True', 'True']",-0.01,0.0,0.0,0.0
"['False', 'False', 'True', 'False', 'False', 'False', 'False', '3', 'True', 'True', 'True']",0.0,0.0,0.0,-0.05
"['False', 'False', 'False', 'False', 'True', 'False', 'False', '3', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'True', 'True', 'False', 'False', 'False', 'False', '1', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['False', 'False', 'False', 'False', 'True', 'False', 'False', '0', 'True', 'True', 'True']",0.0,0.0,0.0,0.0
"['True', 'False', 'False', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",0.0,0.0,0.0,-0.01
"['True', 'False', 'False', 'False', 'False', 'False', 'False', '1', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['True', 'False', 'False', 'False', 'False', 'False', 'False', '1', 'False', 'False', 'False']",0.0,0.0,-0.01,0.0
"['True', 'False', 'True', 'False', 'False', 'False', 'False', '1', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['True', 'False', 'True', 'False', 'False', 'False', 'False', '1', 'False', 'True', 'True']",0.0,0.0,0.0,0.0
"['True', 'False', 'True', 'False', 'False', 'False', 'False', '0', 'False', 'False', 'False']",0.0,0.0,0.0,0.0
"['True', 'False', 'False', 'False', 'False', 'False', 'False', '0', 'True', 'False', 'False']",0.0,0.0,-0.05,0.0
"['True', 'False', 'True', 'False', 'True', 'False', 'False', '0', 'True', 'True', 'True']",0.099732691,0.0,0.0,0.0
